aX,aY,aZ,gX,gY,gZ
0.636,-0.076,0.787,4.639,8.484,-5.188
0.643,-0.092,0.787,-0.366,11.902,-3.540
0.639,-0.117,0.761,6.165,14.404,-3.906
0.632,-0.087,0.750,7.202,10.925,-5.432
0.644,-0.085,0.759,4.944,13.000,1.526
0.638,-0.121,0.727,6.714,16.541,1.099
0.649,-0.105,0.732,11.230,14.832,-3.052
0.677,-0.079,0.759,4.578,3.540,2.319
0.685,-0.073,0.759,-3.784,0.854,10.681
0.656,-0.059,0.715,-11.841,-1.099,10.071
0.663,-0.135,0.692,-21.851,-16.602,22.949
0.723,-0.260,0.703,-43.945,-80.139,37.720
0.798,-0.564,0.634,-108.887,-106.262,128.601
0.881,-0.803,0.790,-94.482,-139.465,186.951
0.789,-0.467,0.912,-39.734,-121.704,209.351
0.734,-0.077,1.165,-71.777,-81.909,221.863
0.566,0.124,1.216,-82.520,-48.584,224.121
0.298,0.382,1.158,-62.012,-10.864,207.947
0.203,0.530,1.092,-61.035,-4.822,191.040
0.090,0.641,0.997,-82.397,3.174,176.331
-0.005,0.779,0.959,-99.670,20.081,162.781
-0.060,0.869,0.888,-79.834,47.363,129.944
-0.080,0.876,0.837,-64.941,55.969,96.558
-0.128,0.941,0.814,-80.811,30.457,86.731
-0.126,1.051,0.820,-93.079,36.499,71.228
-0.145,1.051,0.796,-95.886,48.340,45.349
-0.177,1.122,0.745,-80.017,46.570,15.930
-0.139,1.151,0.663,-99.548,34.241,-2.014
-0.094,1.050,0.606,-105.408,37.781,-24.902
-0.052,0.945,0.469,-82.214,64.026,-54.687
-0.153,1.007,0.376,-110.901,65.552,-53.589
-0.099,0.913,0.337,-136.414,12.207,-50.720
-0.056,0.809,0.303,-119.873,3.723,-56.824
-0.080,0.867,0.249,-82.642,16.235,-72.144
-0.114,0.917,0.190,-81.604,9.094,-81.238
-0.077,0.910,0.198,-92.224,-21.118,-76.050
-0.087,1.001,0.187,-71.472,-23.743,-86.426
-0.040,0.992,0.141,-39.978,-20.935,-117.859
0.007,0.808,0.038,-7.141,4.639,-149.719
0.057,0.636,-0.015,-17.273,27.161,-153.625
0.228,0.563,0.095,-73.120,-35.278,-126.099
0.337,0.487,0.067,-56.274,-63.171,-128.418
0.286,0.475,0.009,-13.184,-50.415,-130.676
0.346,0.516,0.047,-34.668,-53.589,-126.648
0.541,0.515,0.125,-54.749,-77.881,-120.117
0.531,0.367,0.152,-48.889,-78.735,-117.065
0.469,0.305,0.144,-34.363,-87.097,-99.670
0.531,0.202,0.127,-10.254,-90.393,-112.915
0.525,0.073,0.200,-3.906,-103.210,-110.840
0.529,0.015,0.349,5.005,-109.680,-91.003
0.622,-0.116,0.307,15.747,-109.009,-95.398
0.529,-0.128,0.375,7.812,-121.033,-60.242
0.516,-0.038,0.580,13.184,-124.023,-35.706
0.696,-0.185,0.693,30.273,-126.038,-37.781
0.559,-0.280,0.789,55.176,-111.084,-32.715
0.578,-0.238,0.777,84.167,-111.694,-11.353
0.703,-0.427,0.795,112.122,-115.234,-13.550
0.413,-0.376,0.779,134.094,-111.267,6.470
0.642,-0.172,0.834,145.020,-117.126,30.212
0.703,-0.445,0.851,113.525,-102.295,26.245
0.460,-0.436,0.769,99.976,-75.867,60.364
0.491,-0.331,0.725,137.573,-94.238,44.983
0.592,-0.334,1.026,137.146,-101.990,28.198
0.507,-0.548,1.070,83.984,-89.172,56.152
0.535,-0.543,1.046,133.850,-74.768,79.041
0.552,-0.531,1.046,115.356,-104.248,114.990
0.580,-0.550,1.498,115.540,-65.674,74.524
0.581,-0.541,1.288,118.896,10.376,97.534
0.452,-0.592,1.031,64.819,-15.747,93.872
0.479,-0.508,1.127,59.570,-38.452,89.905
0.452,-0.492,1.156,65.857,-30.457,88.196
0.420,-0.492,1.100,54.443,-35.645,97.168
0.370,-0.460,1.205,35.034,-35.400,106.873
0.370,-0.313,1.294,29.236,-13.000,104.248
0.382,-0.254,1.245,10.010,33.813,106.750
0.318,-0.182,1.159,-19.714,72.815,98.511
0.449,-0.055,1.018,-30.884,61.279,78.796
0.451,-0.033,1.043,-40.405,56.213,74.768
0.430,-0.040,0.854,-55.908,91.919,72.876
0.473,-0.049,0.865,-67.627,81.543,46.570
0.515,0.055,0.932,-76.172,115.784,15.442
0.637,0.088,0.686,-67.749,102.478,-27.893
0.637,0.042,0.645,-86.853,49.316,-18.799
0.590,-0.055,0.610,-65.491,-9.827,2.502
0.475,-0.026,0.593,-50.903,-47.302,38.635
0.522,0.000,0.709,-28.809,-52.185,35.278
0.566,0.085,0.691,-38.147,-31.799,38.757
0.459,0.052,0.763,-50.537,-4.211,42.114
0.639,0.089,0.640,-8.728,-87.830,44.983
0.698,0.181,0.625,-34.180,-69.580,1.709
0.412,0.078,0.795,-82.886,-47.668,-36.743
0.546,-0.042,0.734,-114.868,-21.667,-14.893
0.578,0.019,0.535,-109.924,5.920,5.676
0.824,0.263,1.254,-51.086,-164.978,-25.940
0.540,0.296,0.944,4.395,-111.328,-10.559
0.576,0.167,1.185,-39.001,-75.317,-22.400
0.308,0.292,0.583,-57.495,-3.113,33.997
0.295,0.180,0.908,18.860,45.105,16.846
0.486,0.252,0.942,-9.338,2.991,11.230
0.200,0.300,0.798,5.249,-20.569,7.568
0.293,0.286,0.826,42.664,7.629,-9.521
0.457,0.212,0.933,38.269,29.175,-0.977
0.410,0.203,0.902,19.470,18.616,-2.258
0.502,0.175,0.785,26.733,30.396,-12.695
0.619,0.130,0.819,28.381,47.058,-6.653
0.589,0.136,0.855,1.160,17.273,4.395
0.542,0.190,0.853,-9.644,-6.775,2.930
0.454,0.193,0.860,13.062,0.061,7.019
