aX,aY,aZ,gX,gY,gZ
0.656,-0.669,0.053,142.151,-46.570,164.734
0.944,-0.431,-0.086,108.337,-109.375,232.544
0.694,-0.607,0.069,25.635,-118.652,238.770
1.092,0.061,-0.277,12.268,-40.588,95.825
0.786,-0.258,-0.096,1.892,77.759,-28.381
0.879,-0.149,-0.101,36.621,134.399,-9.399
0.924,-0.229,-0.107,61.157,36.987,7.996
0.979,-0.339,-0.135,37.598,-37.048,32.288
0.996,-0.317,-0.079,25.574,-33.813,62.744
0.960,-0.211,-0.041,25.330,6.409,32.349
0.981,-0.269,-0.037,38.635,15.381,30.151
0.929,-0.219,-0.034,30.701,-9.521,10.925
0.980,-0.217,-0.007,45.715,-51.697,9.705
1.003,-0.215,0.049,13.672,-60.181,12.756
1.052,-0.152,0.050,12.146,-41.565,28.076
1.083,-0.130,0.072,0.183,-55.176,25.818
1.204,-0.138,0.088,-3.296,-76.050,24.597
1.293,-0.048,0.168,-11.230,-110.718,27.771
1.335,0.085,0.203,-27.100,-132.263,29.053
1.297,0.254,0.202,5.920,-110.229,27.954
1.316,0.318,0.122,-10.132,-144.775,15.015
1.266,0.296,0.153,8.606,-200.989,22.400
1.194,0.402,0.353,50.720,-190.247,59.082
1.016,0.560,0.385,13.306,-189.697,69.641
0.779,0.694,0.418,27.893,-185.303,56.519
0.604,0.736,0.518,56.396,-193.237,15.137
0.458,0.586,0.594,71.838,-201.477,-28.442
0.264,0.448,0.667,98.206,-185.120,-39.795
-0.138,0.249,0.639,98.389,-165.771,-70.496
-0.440,-0.256,0.450,75.317,-136.353,-162.842
-0.367,-1.024,0.313,70.190,-123.230,-205.872
-0.543,-1.385,0.286,70.129,-135.437,-188.171
-0.492,-1.643,0.450,117.371,-130.737,-207.336
0.089,-1.703,1.097,141.418,-80.750,-179.138
0.368,-1.224,1.134,102.173,89.600,-40.039
0.070,-0.712,0.457,-18.188,151.550,87.769
-0.290,-0.486,0.449,0.488,-4.333,16.968
-0.180,-0.478,0.786,40.894,4.333,0.610
-0.140,-0.494,0.866,18.494,31.555,4.395
-0.042,-0.595,0.773,9.277,19.165,5.920
0.002,-0.763,0.847,32.715,19.897,21.606
0.121,-0.897,0.880,11.169,30.457,38.635
0.209,-0.935,0.727,-8.606,38.269,80.933
-0.010,-1.017,0.662,2.563,44.067,101.257
0.153,-1.013,0.593,-26.001,46.814,96.069
0.263,-0.782,0.556,-61.401,18.982,99.670
0.102,-0.707,0.666,-73.730,22.217,86.304
0.335,-0.785,0.634,-70.435,49.805,87.952
0.392,-0.375,0.659,-61.035,71.167,113.403
0.264,-0.289,0.522,-101.013,57.007,91.064
0.636,-0.342,0.608,-72.937,41.016,80.688
0.637,-0.048,0.830,-42.114,73.364,96.252
0.479,-0.141,0.761,-104.492,93.506,68.237
0.715,-0.046,0.702,-110.901,76.111,56.519
0.656,0.401,0.622,-62.134,81.360,87.952
0.629,0.317,0.620,-46.814,92.651,74.097
0.716,0.273,0.678,-57.007,74.402,71.716
0.613,0.490,0.782,-33.142,57.739,81.299
0.658,0.489,0.804,-10.315,58.716,43.701
0.770,0.443,0.707,-16.785,64.575,41.016
0.757,0.697,0.550,-20.386,83.252,66.956
0.929,0.904,0.470,8.667,101.074,49.133
1.117,0.823,0.493,16.113,27.405,29.663
0.990,0.378,0.612,11.047,-43.274,45.105
0.673,0.329,0.693,0.305,-25.574,51.270
0.598,0.323,0.606,1.282,5.981,15.869
0.669,0.199,0.546,12.512,11.963,-4.395
0.736,0.175,0.562,8.240,5.310,-0.671
0.740,0.231,0.550,0.366,5.310,-2.930
0.758,0.242,0.553,4.089,2.686,-12.695
0.814,0.198,0.570,1.099,-7.507,-13.306
0.835,0.196,0.554,-9.094,-4.333,-5.859
0.820,0.248,0.529,-9.399,0.244,-3.906
0.834,0.253,0.525,-7.812,2.869,-5.676
0.895,0.232,0.549,-14.221,-5.615,-3.174
0.836,0.270,0.539,-15.259,-3.601,7.141
0.805,0.304,0.509,-5.920,8.240,4.395
0.801,0.274,0.527,5.066,1.770,-6.226
0.839,0.225,0.600,6.287,-14.465,-5.127
0.834,0.223,0.612,4.333,-13.000,-0.977
0.837,0.240,0.604,-1.099,-9.277,-3.418
0.804,0.269,0.562,-3.296,-9.705,-4.333
0.760,0.279,0.561,1.282,-7.080,-2.441
0.771,0.251,0.581,-3.906,-12.329,-4.089
0.773,0.253,0.558,-4.700,-10.559,-2.686
0.802,0.263,0.574,-0.488,-3.235,-4.028
0.829,0.235,0.590,-3.906,-6.958,-1.770
0.831,0.230,0.585,-7.751,-5.432,7.385
0.783,0.261,0.560,-8.301,-0.427,14.099
0.737,0.280,0.534,-4.822,-0.427,8.972
0.729,0.265,0.557,-3.113,-8.423,3.479
0.744,0.267,0.598,-4.272,-7.080,5.798
0.725,0.300,0.597,-1.282,1.831,3.174
0.754,0.301,0.596,-2.075,-1.892,-2.808
0.789,0.260,0.601,-2.075,-3.906,-3.052
0.779,0.252,0.578,-0.183,-1.160,-3.662
0.784,0.234,0.593,0.916,-2.930,-0.793
0.770,0.258,0.574,2.136,1.343,6.165
0.752,0.314,0.548,4.395,5.066,3.723
0.773,0.288,0.552,3.967,-0.244,-1.831
0.789,0.270,0.589,2.197,-9.277,-0.977
0.776,0.285,0.640,3.601,-9.705,4.089
0.772,0.283,0.653,-0.366,-9.705,6.531
0.740,0.299,0.609,-1.831,0.610,6.226
0.721,0.274,0.592,-0.122,3.357,2.563
0.693,0.260,0.583,-1.770,-2.625,2.625
0.695,0.261,0.586,-1.404,0.305,0.305
0.730,0.266,0.590,-0.122,2.869,-3.967
0.756,0.272,0.595,3.784,3.662,-4.272
0.783,0.274,0.634,2.991,0.977,-6.470
0.788,0.256,0.622,-0.793,2.991,-5.920
0.795,0.257,0.595,5.920,5.127,-2.380
0.770,0.260,0.599,3.601,7.446,3.906
0.725,0.297,0.578,-1.709,13.184,2.930
0.738,0.291,0.547,-2.197,13.916,-3.540
0.762,0.279,0.555,0.000,7.568,-6.348
0.773,0.292,0.560,-0.854,6.287,-5.554
0.780,0.285,0.554,0.793,9.705,-4.211
0.792,0.274,0.565,-3.845,4.639,-4.883
0.802,0.266,0.545,-3.601,2.991,-4.700
0.796,0.277,0.537,0.305,5.737,-4.333
0.787,0.289,0.538,0.916,4.395,-5.676
0.818,0.266,0.530,-0.854,2.380,-9.216
0.831,0.249,0.513,1.648,5.188,-7.629
0.825,0.238,0.529,2.991,6.470,-4.822

0.812,0.232,0.557,-0.305,-1.038,0.244
0.814,0.229,0.557,-1.709,-0.977,-0.732
0.813,0.227,0.547,-1.892,0.854,-0.488
0.807,0.233,0.547,-2.808,0.366,0.366
0.809,0.233,0.547,-2.808,-0.122,-0.061
0.804,0.238,0.535,-2.747,1.526,0.671
0.816,0.237,0.535,-1.343,0.977,-0.793
0.822,0.230,0.538,-0.488,1.526,-0.610
0.824,0.226,0.545,0.732,1.526,1.892
0.806,0.243,0.552,0.305,1.648,2.930
0.800,0.251,0.549,0.061,1.404,0.732
0.818,0.241,0.548,-0.244,-0.732,-0.610
0.815,0.245,0.540,0.244,0.427,1.160
0.808,0.250,0.532,-0.305,2.136,2.136
0.800,0.258,0.511,1.160,2.075,-0.244
0.818,0.249,0.519,2.930,-0.183,-0.732
0.815,0.246,0.522,3.418,1.831,-1.953
0.828,0.220,0.536,3.479,0.061,-2.075
0.812,0.230,0.538,3.723,1.465,-0.244
0.811,0.237,0.536,4.456,3.174,-1.099
0.806,0.260,0.529,3.723,1.770,-1.770
