aX,aY,aZ,gX,gY,gZ
0.766,0.055,0.628,15.015,-6.042,4.456
0.798,0.102,0.606,15.991,-10.071,8.057
0.760,0.067,0.639,17.883,-11.719,-3.967
0.761,0.066,0.637,6.165,-4.456,5.005
0.773,0.093,0.638,8.545,-6.714,11.353
0.798,0.076,0.658,7.141,-15.259,3.845
0.773,0.073,0.658,2.197,-8.423,-3.113
0.762,0.056,0.669,-3.113,-3.601,-3.540
0.735,0.042,0.680,-2.319,5.005,4.639
0.775,0.080,0.640,2.930,1.343,5.615
0.768,0.082,0.635,2.686,-6.714,-2.991
0.752,0.060,0.637,-1.953,-3.052,-0.732
0.758,0.063,0.662,-3.296,-1.709,5.798
0.768,0.088,0.671,6.897,-0.549,7.507
0.799,0.121,0.654,10.376,-6.287,-3.662
0.742,0.065,0.646,1.892,-2.258,-5.737
0.746,0.059,0.653,-5.798,3.357,0.854
0.756,0.073,0.665,1.648,-0.977,0.244
0.756,0.069,0.664,1.587,-3.296,-1.526
0.742,0.042,0.663,0.000,-5.676,-1.038
0.724,0.044,0.646,-3.662,-2.686,3.235
0.756,0.069,0.676,-1.465,-1.831,5.005
0.745,0.066,0.666,-0.183,-3.784,0.854
0.757,0.071,0.677,0.366,-1.831,2.808
0.750,0.074,0.664,-0.122,-1.282,3.601
0.765,0.103,0.670,-0.977,-0.977,2.991
0.760,0.102,0.667,-0.427,0.061,-1.221
0.758,0.094,0.672,-0.916,-0.183,-0.977
0.757,0.093,0.671,-2.686,-0.854,-1.343
0.751,0.088,0.677,-3.235,1.038,-3.296
0.754,0.070,0.672,-1.099,2.014,-4.395
0.744,0.068,0.656,-1.038,1.404,-3.784
0.747,0.067,0.665,-0.916,-1.282,-2.380
0.744,0.072,0.675,0.244,-2.319,-2.625
0.749,0.072,0.668,-0.305,1.709,-2.319
0.736,0.058,0.663,-0.366,0.732,-1.099
0.750,0.076,0.670,-0.305,2.258,0.610
0.758,0.078,0.663,0.122,1.160,-1.709
0.751,0.073,0.669,-0.305,0.610,-1.465
0.752,0.073,0.672,-0.366,-0.061,-0.671
0.746,0.064,0.663,-0.122,0.366,-0.610
0.748,0.072,0.669,0.549,-0.427,0.122
0.762,0.082,0.667,-0.977,0.366,-0.916
0.753,0.077,0.653,-1.587,1.953,-1.526
0.757,0.068,0.655,0.244,-0.427,-2.441
0.741,0.051,0.659,0.000,-1.099,-1.953
0.749,0.067,0.665,0.732,-1.160,-0.122
0.747,0.069,0.664,-0.305,0.854,0.122
0.751,0.064,0.656,-1.404,1.892,0.488
0.750,0.064,0.655,0.122,-1.160,0.549
0.754,0.083,0.674,0.061,-0.977,1.526
0.755,0.079,0.677,-0.366,-0.671,-0.854
0.752,0.070,0.673,-1.343,0.732,-2.136
0.740,0.063,0.665,-1.770,0.793,-1.221
