aX,aY,aZ,gX,gY,gZ
0.852,-0.079,0.545,-4.150,0.427,0.122
0.859,-0.050,0.547,-2.686,1.038,2.625
0.851,-0.053,0.536,-3.906,2.869,0.854
0.848,-0.082,0.551,-5.005,2.502,1.221
0.835,-0.092,0.541,-1.526,3.845,3.845
0.853,-0.058,0.531,-5.188,8.301,7.446
0.868,-0.036,0.541,-6.775,8.240,6.470
0.861,-0.002,0.488,-5.310,4.944,1.404
0.873,-0.014,0.465,-8.545,5.859,1.038
0.878,0.056,0.439,-8.301,2.563,-5.371
0.924,0.036,0.484,-3.052,-3.967,-20.874
0.950,-0.173,0.515,-31.555,-11.841,-20.813
0.884,-0.533,0.891,-34.607,-15.869,7.935
0.609,-0.981,1.080,-30.396,22.034,48.645
0.481,-0.894,1.049,-12.451,51.331,98.083
0.391,-0.811,0.853,9.521,74.219,152.832
0.329,-0.538,0.657,22.095,83.557,226.929
0.265,0.021,0.626,-154.541,72.266,268.127
0.249,0.971,0.234,99.487,167.053,277.649
0.465,1.427,-0.110,126.892,211.121,292.419
0.363,1.729,-0.666,-18.738,198.975,256.714
0.293,2.531,-0.961,-23.682,107.910,159.241
0.132,2.810,-1.329,4.883,31.860,-1.404
-0.085,2.664,-0.881,66.833,-61.707,-167.725
-0.076,1.508,-0.137,-50.171,-222.717,-297.852
-0.080,1.052,0.553,-36.377,-258.606,-296.509
-0.279,0.234,0.797,-3.906,-259.155,-362.549
-0.232,-0.722,1.167,-64.209,-213.623,-377.930
-0.021,-1.386,1.702,-113.647,-154.419,-278.503
0.458,-1.763,1.953,-130.798,-67.566,-119.385
0.404,-1.431,1.465,-47.241,14.038,-51.514
0.386,-1.247,1.141,18.494,21.484,12.512
0.443,-1.318,1.382,43.884,26.245,72.571
0.504,-1.018,1.480,57.434,51.941,164.795
0.424,-0.502,1.221,52.612,140.198,235.413
0.221,-0.233,0.802,47.363,182.861,244.080
0.097,-0.082,0.769,86.792,174.194,259.766
-0.099,0.242,0.798,-28.320,217.712,283.020
-0.049,1.529,0.012,-5.737,210.693,255.920
-0.040,1.881,-0.666,-23.071,213.013,237.854
0.117,2.722,-1.324,207.947,140.808,151.917
-0.015,2.035,-0.947,85.266,24.658,-21.301
0.205,2.133,-0.646,57.068,-54.993,-91.309
0.310,2.332,-0.294,-46.997,-79.346,-165.039
0.218,1.727,-0.046,-71.472,-99.548,-235.718
0.119,1.419,0.125,-105.041,-116.394,-285.706
-0.024,0.960,0.313,-111.450,-148.254,-346.741
-0.161,-0.036,0.448,-83.374,-212.585,-323.364
-0.180,-0.523,1.010,-88.318,-239.746,-271.423
0.199,-1.110,1.777,-115.967,-168.945,-170.288
0.516,-1.678,1.915,-84.290,-53.101,-155.212
0.384,-1.661,1.416,-9.216,38.940,-69.031
0.479,-1.574,1.333,-30.334,36.926,28.198
0.574,-1.242,1.261,-21.484,61.829,98.572
0.563,-0.900,1.195,24.109,86.365,138.977
0.435,-0.803,1.070,56.824,105.652,184.021
0.333,-0.643,0.869,88.135,135.681,265.442
0.079,-0.132,0.715,108.582,158.508,356.262
-0.238,0.770,0.612,59.692,155.212,393.188
-0.062,1.506,0.258,-46.631,186.340,377.075
-0.286,1.769,-0.614,-95.398,151.306,265.137
-0.203,2.058,-1.072,48.645,115.540,179.810
0.029,2.266,-0.635,99.548,79.834,81.238
0.033,1.859,-0.633,54.321,-10.010,-64.148
0.192,1.517,-0.318,56.274,-57.190,-121.826
0.285,1.449,-0.078,34.912,-93.506,-138.184
0.293,1.012,0.117,50.842,-109.924,-197.327
0.367,0.628,0.265,46.448,-116.943,-206.543
0.387,-0.004,0.422,37.109,-132.324,-219.299
0.552,-0.209,0.689,13.977,-136.047,-169.800
0.668,-0.256,0.902,-7.629,-99.915,-112.305
0.800,0.202,1.152,-5.676,-49.194,-87.402
0.710,-0.008,0.793,50.659,4.578,-97.107
0.811,-0.280,0.579,48.706,-12.695,-70.190
0.829,-0.220,0.786,11.719,7.690,-43.030
0.889,-0.275,0.761,-5.554,36.743,1.404
0.879,-0.119,0.758,-8.362,24.353,43.457
0.882,0.077,0.599,6.897,19.531,49.622
0.858,0.133,0.614,19.348,13.306,34.973
0.822,0.133,0.516,3.601,18.616,34.241
0.838,0.320,0.549,-23.437,13.672,40.405
0.773,0.390,0.500,-27.954,15.747,36.865
0.797,0.318,0.444,-19.043,3.296,38.330
0.792,0.378,0.436,-14.038,-5.127,37.048
0.759,0.471,0.487,-6.042,-8.972,26.245
0.726,0.223,0.444,2.136,0.488,13.245
0.796,0.475,0.447,1.465,1.709,29.968
0.764,0.518,0.513,8.911,-5.066,9.155
0.777,0.374,0.517,-2.686,1.892,-1.892
0.805,0.410,0.493,-3.601,1.709,5.920
0.798,0.379,0.489,3.723,-6.348,-4.333
0.778,0.320,0.529,2.319,-8.423,-7.019
0.788,0.318,0.490,-2.075,1.953,2.197
0.793,0.333,0.532,-1.709,0.122,4.028
0.782,0.397,0.526,0.793,-1.526,2.319
0.792,0.345,0.546,-0.916,-4.395,-2.747
0.773,0.364,0.505,0.732,5.188,-0.671
0.790,0.371,0.510,-1.221,3.540,-0.916
0.771,0.338,0.488,-1.343,3.418,1.282
0.770,0.333,0.523,2.258,2.380,1.099
0.793,0.409,0.509,3.967,3.174,-2.808
0.796,0.373,0.521,-0.183,2.625,-6.165
0.790,0.316,0.501,-2.930,3.113,0.732
0.797,0.344,0.500,2.075,-0.061,1.404
0.789,0.391,0.507,9.338,-3.784,-5.310
0.774,0.371,0.490,4.211,-7.202,-12.756
0.790,0.319,0.512,2.441,-2.563,-5.371
0.786,0.341,0.510,2.991,-2.930,-0.305
0.787,0.349,0.530,1.648,-1.587,-0.977
0.791,0.364,0.523,0.061,-1.831,-2.258
