aX,aY,aZ,gX,gY,gZ
0.879,-0.007,0.412,-0.732,-20.325,2.991
0.888,0.023,0.427,11.108,-27.527,1.465
0.919,0.044,0.447,9.888,-6.592,-25.513
0.931,0.021,0.431,3.784,5.615,-27.466
0.929,-0.005,0.439,15.259,14.526,-27.588
0.891,-0.003,0.393,31.738,34.790,-30.884
0.788,-0.062,0.366,60.791,67.078,-23.560
0.912,-0.090,0.353,46.936,68.542,-14.771
0.973,-0.065,0.357,36.804,62.744,-5.737
0.923,-0.081,0.265,26.306,35.156,-10.620
0.958,-0.071,0.226,22.400,-11.719,-16.907
0.929,-0.082,0.320,2.808,-46.265,-56.030
0.968,-0.136,0.311,-12.085,-49.622,-48.584
0.990,-0.150,0.326,-42.480,-73.608,-21.362
0.928,-0.148,0.358,-41.321,-79.407,-3.723
0.978,-0.146,0.441,-31.372,-75.623,-1.831
0.958,-0.173,0.651,-46.570,-54.138,-5.371
0.856,-0.040,0.612,-141.968,-9.277,-38.757
1.185,0.006,0.167,-81.787,11.230,-53.467
1.246,-0.149,0.650,-53.284,-114.075,-19.653
1.169,-0.094,0.872,-78.857,-181.946,38.513
1.123,-0.154,0.917,-29.663,-94.543,53.711
1.126,-0.030,0.974,-27.588,-20.813,37.231
1.109,-0.073,1.023,-70.068,10.681,49.072
1.045,0.070,1.177,-115.234,12.939,56.763
0.974,0.194,1.228,-98.022,57.678,34.912
0.737,0.264,1.005,-55.298,122.131,10.315
0.682,0.092,0.763,-70.740,156.250,27.344
0.600,0.065,0.603,-117.432,157.227,46.509
0.630,0.217,0.638,-116.882,169.006,40.466
0.484,0.098,0.283,-68.787,182.434,0.122
0.387,0.104,-0.020,-69.153,162.720,-22.278
0.444,0.168,-0.112,-90.027,159.119,-12.024
0.431,0.159,-0.219,-60.181,148.560,-52.246
0.375,0.127,-0.353,-18.188,122.131,-73.059
0.296,0.123,-0.548,22.583,81.970,-61.829
0.276,-0.070,-0.690,5.066,-1.099,-36.255
0.262,0.013,-0.580,6.775,-79.102,6.592
0.310,0.047,-0.450,48.096,-130.676,12.939
0.339,0.055,-0.337,75.806,-185.852,14.343
0.319,0.116,-0.090,68.604,-244.385,22.583
0.505,0.066,0.454,38.513,-237.732,25.146
0.564,0.017,0.596,70.313,-207.397,30.212
0.531,0.065,0.637,53.162,-199.951,26.306
0.595,0.004,0.877,59.387,-214.478,26.062
0.670,0.079,0.888,90.637,-222.168,6.958
0.546,0.067,0.998,98.022,-193.237,-17.212
0.691,0.035,1.269,34.851,-177.246,25.818
0.628,0.160,1.135,53.223,-135.559,10.498
0.615,0.061,1.275,43.518,-140.686,-0.854
0.607,0.092,1.595,47.607,-114.441,5.188
0.862,0.163,1.903,35.156,-47.119,20.630
1.058,0.380,2.056,-14.771,-16.418,38.147
1.005,0.428,1.943,-41.748,69.092,23.987
0.970,0.426,1.940,-78.064,143.921,17.944
0.852,0.248,1.861,-85.876,192.444,-0.244
0.724,0.291,1.629,-87.646,227.844,-27.893
0.447,0.135,1.116,-66.589,283.142,-61.157
0.354,0.085,0.766,-100.586,318.726,-43.823
0.309,0.088,0.516,-110.352,327.637,-27.649
0.344,0.113,0.413,-111.450,268.433,-21.423
0.315,-0.003,0.233,-111.206,210.815,-8.484
0.245,-0.050,-0.116,-92.957,189.026,-36.194
0.266,-0.083,-0.302,-75.745,214.600,-41.870
0.330,-0.046,-0.424,-40.588,188.477,-50.476
0.355,-0.078,-0.542,-12.329,112.244,-53.528
0.384,-0.079,-0.638,18.188,46.387,-46.997
0.362,-0.103,-0.715,18.555,-23.926,-33.264
0.373,-0.203,-0.725,9.216,-90.332,10.315
0.429,-0.056,-0.691,8.057,-148.193,48.706
0.496,0.074,-0.522,38.269,-172.241,51.819
0.455,-0.008,-0.321,62.500,-212.097,50.903
0.438,0.008,-0.013,71.411,-238.708,55.176
0.416,0.146,0.226,84.351,-272.278,64.941
0.625,0.282,0.698,74.158,-260.498,85.388
0.947,0.458,1.086,24.170,-245.911,97.839
0.603,0.239,0.843,89.905,-236.694,8.972
0.578,0.186,1.023,87.891,-222.839,15.381
0.920,0.416,1.516,28.320,-168.457,49.011
0.835,0.367,1.362,51.331,-102.295,15.686
0.748,0.229,1.404,32.715,-64.697,-0.549
1.038,0.493,1.732,-6.226,-21.423,15.991
1.052,0.637,1.647,-2.319,47.302,-6.653
0.933,0.453,1.546,-20.569,126.953,-22.278
1.005,0.429,1.547,-51.086,184.631,-29.053
0.825,0.284,1.149,-74.097,274.353,-58.289
0.717,0.095,0.862,-71.899,283.630,-82.214
0.779,0.102,0.859,-55.664,276.733,-66.956
0.770,0.255,0.700,-59.204,306.458,-58.594
0.461,-0.041,0.140,-64.331,259.216,-22.095
0.495,0.076,-0.046,-29.297,188.354,-11.658
0.413,0.097,-0.226,3.540,193.481,-35.278
0.387,0.030,-0.426,-12.939,194.946,-30.029
0.304,0.031,-0.664,-18.738,152.954,-26.367
0.278,0.011,-0.804,-2.319,82.581,-24.292
0.300,0.005,-0.792,12.451,4.395,-22.827
0.336,-0.068,-0.670,25.757,-56.641,-19.958
0.355,-0.085,-0.621,32.288,-103.027,-1.038
0.401,-0.064,-0.602,28.564,-108.154,7.996
0.406,0.049,-0.362,22.156,-202.270,26.245
0.487,0.008,-0.187,51.880,-241.211,20.203
0.526,0.091,-0.041,60.730,-262.207,14.282
0.652,0.094,0.390,63.293,-271.362,2.075
0.847,0.167,0.693,76.843,-236.450,-7.507
0.991,0.306,0.863,85.510,-242.676,-12.695
1.086,0.111,1.153,141.052,-168.518,-95.215
1.060,-0.115,0.950,32.227,-117.676,-69.397
0.933,0.007,0.830,-31.250,-76.294,-46.265
0.911,0.100,0.898,-43.152,-46.082,-18.066
0.800,-0.155,0.804,-24.536,-38.269,-7.019
0.646,-0.090,0.631,25.024,-80.383,-13.062
0.800,-0.187,1.154,41.199,-118.958,-17.761
0.807,-0.172,1.077,18.005,-96.313,2.075
0.664,-0.115,0.802,35.339,-53.040,-8.606
0.411,-0.152,0.805,-25.940,-112.732,23.621
0.598,-0.042,0.848,-91.553,-220.032,-27.283
0.612,0.131,1.113,-39.246,-148.499,31.128
0.377,-0.053,1.160,5.310,-100.769,3.479
0.069,-0.199,1.701,-59.082,128.601,-2.686
0.510,0.020,0.612,-35.034,175.415,14.893
0.641,-0.043,0.440,-26.489,-43.152,16.907
0.426,0.063,1.238,-15.320,-26.123,20.813
0.298,0.216,0.925,-9.766,27.344,11.475
0.389,0.147,0.838,12.878,21.240,-26.306
0.471,-0.051,0.736,-3.235,-6.775,-1.465

0.509,0.078,0.844,-0.854,7.324,-3.113
0.542,0.056,0.853,1.526,1.160,-1.282
0.485,0.102,0.893,-1.465,-4.822,4.822
0.462,0.097,0.910,-2.808,3.174,-1.770
0.539,0.063,0.806,-3.662,5.493,-4.944
0.522,0.057,0.838,-1.221,-5.066,0.610
0.496,0.103,0.882,2.136,-1.099,4.150
0.506,0.096,0.892,1.465,3.845,1.770
0.529,0.072,0.871,5.005,11.047,2.686
0.505,0.110,0.884,10.132,11.108,6.836
0.490,0.111,0.916,9.766,0.366,-2.014
0.549,0.014,0.890,16.357,5.432,-5.737
0.560,0.028,0.825,18.860,17.944,4.761
0.582,0.036,0.777,14.893,19.653,6.897
0.547,0.033,0.774,13.062,4.089,13.794
0.511,0.046,0.889,10.315,4.211,11.536
0.537,0.040,0.808,6.775,-4.761,19.958
0.500,0.059,0.880,11.963,-1.282,26.489
0.470,0.107,0.899,15.320,13.428,21.240
0.504,0.097,0.797,16.541,7.935,11.292
0.462,0.110,0.862,28.015,-0.244,5.554
0.504,0.086,0.953,35.645,19.958,-5.615
0.566,0.039,0.876,28.442,16.479,-10.559
0.554,-0.003,0.797,26.855,7.141,-10.498
0.544,-0.011,0.944,43.640,5.859,-14.771
0.616,-0.597,0.706,54.382,23.682,6.226
0.604,0.110,1.131,-17.212,-12.146,50.232
0.656,-0.109,0.876,-18.677,48.035,52.185
0.668,0.288,0.750,-55.908,33.081,37.598
0.547,-0.119,0.701,-36.926,-15.869,4.150
0.538,0.173,0.919,2.563,-23.254,32.776
0.665,0.144,0.831,20.996,-9.277,11.047
0.562,0.165,0.761,8.362,1.343,10.742
0.610,0.033,0.881,-41.016,0.854,24.109
0.848,0.074,1.028,-39.124,-0.061,50.415
0.906,0.240,1.196,53.467,26.550,-57.129
1.003,0.234,1.845,-48.340,52.551,-28.137
0.899,0.322,1.593,-131.531,179.199,10.986
0.817,0.083,1.321,-76.233,208.923,1.343
0.798,0.125,1.429,10.742,226.929,-32.898
0.673,0.094,1.287,-34.241,289.490,-31.189
0.461,-0.011,0.573,-67.871,279.358,-7.568
0.428,-0.025,0.148,-80.688,235.168,4.639
0.382,0.165,0.073,-57.434,208.740,-6.165
0.310,0.032,-0.212,-48.279,226.440,-22.644
0.193,-0.072,-0.697,-64.392,186.523,-45.166
0.303,0.003,-0.943,-96.863,125.610,-52.917
0.210,-0.091,-1.040,-46.326,44.312,-28.381
0.177,0.088,-0.926,-7.996,-83.740,-19.775
0.297,-0.143,-0.960,74.829,-163.269,-4.211
0.326,-0.042,-0.571,41.687,-230.286,16.602
0.363,0.074,-0.137,2.808,-264.038,41.748
0.394,0.083,0.350,-13.123,-302.063,66.467
0.475,0.041,0.519,16.663,-292.969,70.984
0.460,0.141,0.483,43.091,-270.142,60.181
0.457,0.132,0.619,19.470,-256.409,51.331
0.528,0.080,0.946,48.157,-280.396,43.396
0.506,0.227,1.170,76.904,-230.103,1.465
0.485,0.187,1.387,119.141,-201.172,25.269
0.430,-0.020,1.010,128.479,-165.649,21.667
0.293,-0.078,1.390,12.817,-184.509,5.737
0.316,0.080,1.816,-13.123,-142.334,30.823
0.225,0.212,1.656,4.761,-87.219,43.213
